compound_id	SMILES	pic50
0	Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2cccc(F)c2)nn1-c1ccccc1	9.18136974317448
1	CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCCCF)c3)nc2n1	8.21788585252093
2	Cn1cncc1Cn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	8.81987412483595
3	COCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCCCF)c3)nc2n1	7.82030461667549
4	CNC(=O)c1cc(CCc2nc(-c3ccccn3)cn2C)nn2c(C)c(C(F)(F)F)nc12	8.09650324315895
5	O=C(Nc1cc(-c2ccccn2)nn1Cc1ccccc1)c1nc(C2CC2)ccc1Nc1cncnc1	8.76598918241282
6	O=C(Nc1cc(-c2ccc3ccccc3n2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1	10.049707206675
7	O=C(Nc1cc(-c2ccccn2)nn1CC1CCCCC1)c1nc(C2CC2)ccc1Nc1cncnc1	8.97674754036629
8	O=C(Nc1cc(-c2ccccn2)nn1CC1CCCC1)c1nc(C2CC2)ccc1Nc1cncnc1	8.95000714307986
9	Cc1cc(CCc2nc(-c3ccccn3)cn2C)nn2c(C)c(C(F)(F)F)nc12	8.42987014300335
10	COCCn1cc(-c2ccccc2)nc1CCNC(=O)c1c(C(=O)N2CCC2)cnn1C	8.51291411539321
11	Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3ccccc3OCCCF)nc2c1	9.52432881167557
12	CN1CCC(n2nc(-c3ccccn3)cc2NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)CC1	8.38184726662148
13	O=C(Nc1cc(-c2ccccn2)nn1C1CCCCC1)c1nc(C2CC2)ccc1Nc1cncnc1	8.87876854485038
14	Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3ccccc3OCCF)nc2c1	9.46218090492673
15	Cc1c(C(F)F)nc2ccc(CCc3nc(-c4ccccc4)cn3C)nn12	8.25166453465861
16	O=C(Nc1cc(-c2ccccn2)nn1CCN1CCOCC1)c1nc(C2CC2)ccc1Nc1cncnc1	8.81502480930174
17	Cc1nc2ccccc2nc1CCc1nc(-c2ccccc2)cn1-c1ccccn1	8.74064507269197
18	O=C(Nc1cc(-c2ccccn2)nn1CCc1ccccc1)c1nc(C2CC2)ccc1Nc1cncnc1	8.30874164186689
19	CN(CCO)c1nc(OCc2nc(-c3ccccc3)cn2C)nc2ccc(Cl)cc12	8.50947969063665
20	CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCC(=O)OC)c3)nc2n1	8.10095476651894
21	Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)nn1-c1cccnc1	9.2968236013513
22	Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)oc1-c1cccnc1	8.73802380860219
23	Cc1c(Cl)cc(OCC(=O)N2CCOCC2)c2nc(CCc3nc(N4CCCC4)nn3C)nn12	8.68340069790614
24	O=C(Nc1cc(-c2ccccn2)nn1C1CCOCC1)c1nc(C2CC2)ccc1Nc1cncnc1	8.85047298624565
25	Cn1cc(-c2ccccc2)nc1CCc1ccc2nc(C(F)(F)F)cn2n1	7.08195392819286
26	CCN(C)C(=O)c1cnn(CCF)c1C(=O)Nc1ccn2cc(-c3ccccc3)nc2n1	5
27	Cc1nc2ccc(CCc3nc(-c4ccccc4)cn3C)nn2c1CO	7.68883972712087
28	Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2cc(-c3cccc(OCCCF)c3)nc2n1	8.13406733180681
29	COCCn1nc(-c2ccccc2)nc1CCNC(=O)c1c(C(=O)N2CCC2)cnn1C	6.54579842289594
30	Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)nn1Cc1ccccc1	8.43121178768465
31	CN(CCOCCF)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCCF)c3)nc2n1	7.05040509374063
32	Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)nn1CC1CC1	8.24710684511541
33	CN(C)CCn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	8.98046831546874
34	Cc1cc(-n2nc(N3CCCC3)nc2CCc2nc3c(C(F)(F)F)cc(Cl)c(C)n3n2)ccn1	8.97063227085616
35	CN(C)CCn1nc(NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)cc1-c1ccccn1	7.62236596575241
36	Cn1cc(-c2ccccc2)nc1CCNC(=O)c1nc(C2CC2)cnc1Nc1cncnc1	7.79239255808809
37	COc1ccc(Cn2nc(CCc3nc4c(Cl)cc(Cl)c(C)n4n3)nc2N2CCCC2)cc1	8.58762366667653
38	COC[C@H]1CCCN1c1nc(CCc2nc3c(C)ncc(C)n3n2)n(Cc2ccc(OC)cc2)n1	7.82576569505898
39	CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCCO)c3)nc2n1	8.0548269538261
40	Cc1cc(-n2nc(CCc3nc4c(C(F)(F)F)cc(Cl)c(C)n4n3)nc2N2CCCC2)ccn1	8.00749066493222
41	CCOC(=O)Cn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	8.42736070295719
42	Cc1nc2c(C)c(C)c(CCc3nc(-c4ccccc4)cn3C)nn2c1C	8.62051318628273
43	CN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCCCF)c3)nc2n1	8.14429916916456
44	CC(C)Cn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	8.9079815292472
45	COCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCCF)c3)nc2n1	7.89794380742481
46	Cn1nc(-c2ccc3ccccc3n2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	10.1012623562313
47	Cc1c(Cl)cc(C(F)(F)F)c2nc(CCc3nc(N4CCCC4)nn3C3CCOCC3)nn12	9.46095292479679
48	CC(C)n1ncc2cc(CCc3nc(-c4ccccc4)cn3C)ncc21	6.06586479100792
49	Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)nn1CC(F)(F)F	7.36627249307259
50	Cc1c(Cl)cc(OCCN2CCOCC2)c2nc(CCc3nc(N4CCCC4)nn3C)nn12	8.86423148543218
51	COCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCF)c3)nc2n1	7.72152077695368
52	Cn1cc(-c2ccccc2)nc1CCc1nc2cccc(Cl)c2c(=O)[nH]1	6.91279021158463
53	COCCn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	9.74232142513081
54	Cn1cc(-c2ccccc2)nc1CCc1nc(N2CCOCC2)c2cc(Cl)ccc2n1	8.96537154337468
